Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatX,QuatY,QuatZ,QuatW
37911,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.96,9.61,-13.69,-32.75,-13.62,0.02,0.05,-0.99,0.16
37912,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.88,9.5,-0.69,-7.38,-29.88,0.06,-0.07,0.94,0.34
37912,00:02:44,IMU2,0.0,0.0,0.0,0.61,-2.87,9.38,-18.88,-6.5,-24.44,-0.09,0.12,-0.89,0.43
37912,00:02:44,IMU3,0.0,0.0,0.0,-0.46,-0.92,9.61,-13.69,-32.75,-13.62,0.02,0.05,-0.99,0.16
37913,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.88,9.5,-0.69,-7.38,-29.88,0.06,-0.07,0.94,0.34
37913,00:02:44,IMU2,0.0,0.0,0.0,0.61,-2.87,9.38,-18.88,-6.5,-24.44,-0.09,0.12,-0.89,0.43
37913,00:02:44,IMU3,0.0,0.0,0.0,-0.46,-0.92,9.61,-13.69,-32.75,-13.62,0.02,0.05,-0.99,0.16
37914,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.88,9.5,-0.69,-7.38,-29.88,0.06,-0.07,0.94,0.34
37914,00:02:44,IMU2,0.0,0.0,0.0,0.65,-2.87,9.34,-18.88,-6.5,-24.44,-0.09,0.12,-0.89,0.43
37914,00:02:44,IMU3,0.0,0.0,0.0,-0.46,-0.92,9.61,-10.75,-30.56,-16.0,0.02,0.05,-0.99,0.16
37915,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.88,9.5,-0.69,-7.38,-29.88,0.06,-0.07,0.94,0.34
37915,00:02:44,IMU2,0.0,0.0,0.0,0.65,-2.87,9.34,-18.88,-6.5,-24.44,-0.09,0.12,-0.89,0.43
37915,00:02:44,IMU3,0.0,0.0,0.0,-0.46,-0.92,9.61,-10.75,-30.56,-16.0,0.02,0.05,-0.99,0.16
37916,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.88,9.5,-0.69,-7.38,-29.88,0.06,-0.07,0.94,0.34
37916,00:02:44,IMU2,0.0,0.0,0.0,0.65,-2.87,9.34,-18.19,-7.25,-28.38,-0.09,0.12,-0.89,0.43
